region,total,oil,coal,gas,coke,gasoline,diesel_oil,fuel_oil,electricity,kerosene
Beijing,6368.849638,1661.361798,1903.61,842.7242,205.9077,535.0158,349.9663,60.57264,306.5754,503.1158
Tianjin,6320.900624,1206.652704,2942.916,220.0312,843.8066,266.3675,442.3318,135.217,233.0757,30.50212
Hebei,29336.24112,1970.210832,18940.38,280.6247,6031.257,312.0251,760.1254,85.37314,947.0487,9.19625
Shanxi,24043.78821,,19830.4,167.0877,2368.652,386.1101,738.2689,17.22892,512.0862,23.95439
Inner Mongolia,21546.79201,273.948336,17176.77,537.8135,1509.672,411.271,1076.724,28.08628,520.3237,12.18319
Liaoning,25681.2536,8390.23923,11452.37,199.6309,2715.248,682.8032,1180.907,428.4943,601.2207,30.34027
Jilin,9077.145544,1217.010054,6135.123,202.3024,576.1373,203.7006,478.1037,54.91538,208.161,1.69211
Heilongjiang,13141.81045,2950.244718,7893.015,364.29,312.6937,469.9652,746.9532,125.9739,278.2186,0.456134
Shanghai,10944.55515,2767.455348,3789.362,407.0334,658.2984,571.6683,704.0561,1061.15,465.9655,519.5661
Jiangsu,25230.04733,3802.133184,15002.44,770.2305,2157.674,861.7401,955.6682,310.1491,1338.848,31.16425
Zhejiang,17347.64674,3579.78588,9483.047,234.3599,490.081,748.3835,1307.354,413.6226,998.4618,92.55106
Anhui,11757.26378,648.770118,9047.324,118.6371,831.7904,206.5846,479.5899,20.37184,384.7292,19.46662
Fujian,8616.847426,1008.605886,5077.959,103.0941,634.4019,387.9199,601.9134,236.9047,491.066,74.98254
Jiangxi,6022.134538,645.270048,3825.791,31.32894,690.0923,113.6068,427.178,31.48634,246.1249,11.25621
Shandong,40234.49381,7347.14694,24854.07,488.6343,2838.984,943.035,1943.932,578.3973,1188.192,52.10227
Henan,22537.67633,1122.622452,17461.06,503.9345,1400.506,288.9241,766.6969,37.0436,919.1768,37.71198
Hubei,13044.97346,1352.31276,7928.73,200.6024,884.7123,823.2483,1152.085,155.546,477.9482,69.7885
Hunan,11227.34339,808.259022,7679.439,124.2229,982.9791,362.1263,630.0209,97.70195,497.8048,44.78942
Guangdong,23583.49648,5299.305984,9748.052,1370.459,453.0901,1408.424,2284.602,1278.583,1458.295,282.6854
Guangxi,5848.688484,232.904658,3713.646,14.69303,609.9226,318.2344,602.6711,10.54307,345.9412,0.132426
Hainan,2347.224568,1193.852448,383.5791,302.8464,17.25206,70.06807,154.8023,38.31505,54.03904,132.4701
Chongqing,5863.190836,0.014286,4130.083,600.7142,324.5447,133.2206,398.5897,10.84307,215.0654,50.11588
Sichuan,14022.67707,450.980448,8676.602,1542.04,1089.901,681.1405,784.5901,19.05752,550.1955,228.17
Guizhou,9062.41011,,7794.442,50.75774,357.2712,191.2673,341.9668,19.24324,303.1212,4.34063
Yunnan,8986.440878,0.100002,6347.27,54.88636,1239.827,284.3775,637.7727,7.371576,360.0408,54.79494
Shaanxi,12094.79609,2671.62486,6783.707,607.2714,636.267,365.6282,718.7729,0.042858,299.0044,12.47747
Gansu,6589.893674,2058.312594,3199.35,150.9375,524.8766,73.776,270.4669,19.12895,285.026,8.01913
Qinghai,1829.135498,117.188058,935.733,298.2321,180.253,34.09234,126.928,0.228576,136.245,0.235424
Ningxia,4436.724614,260.93379,3415.068,145.4731,243.8214,30.82583,143.6263,0.742872,190.0093,6.224022
Xinjiang,10453.02608,2854.19994,5298.677,824.874,513.1323,179.3195,483.3201,31.95778,221.3435,46.20196
